value,value_classification,timestamp,time_until_update
40,Fear,1723248000,
48,Neutral,1723161600,
20,Extreme Fear,1723075200,
29,Fear,1722988800,
17,Extreme Fear,1722902400,
26,Fear,1722816000,
34,Fear,1722729600,
37,Fear,1722643200,
57,Greed,1722556800,
52,Neutral,1722470400,
61,Greed,1722384000,
67,Greed,1722297600,
74,Greed,1722211200,
71,Greed,1722124800,
72,Greed,1722038400,
68,Greed,1721952000,
68,Greed,1721865600,
69,Greed,1721779200,
71,Greed,1721692800,
70,Greed,1721606400,
74,Greed,1721520000,
74,Greed,1721433600,
60,Greed,1721347200,
61,Greed,1721260800,
69,Greed,1721174400,
65,Greed,1721088000,
52,Neutral,1721001600,
33,Fear,1720915200,
25,Extreme Fear,1720828800,
25,Extreme Fear,1720742400,
29,Fear,1720656000,
28,Fear,1720569600,
27,Fear,1720483200,
28,Fear,1720396800,
29,Fear,1720310400,
26,Fear,1720224000,
29,Fear,1720137600,
44,Fear,1720051200,
50,Neutral,1719964800,
51,Neutral,1719878400,
53,Neutral,1719792000,
47,Neutral,1719705600,
30,Fear,1719619200,
47,Neutral,1719532800,
40,Fear,1719446400,
46,Fear,1719360000,
30,Fear,1719273600,
51,Neutral,1719187200,
55,Greed,1719100800,
53,Neutral,1719014400,
63,Greed,1718928000,
60,Greed,1718841600,
64,Greed,1718755200,
74,Greed,1718668800,
71,Greed,1718582400,
71,Greed,1718496000,
74,Greed,1718409600,
74,Greed,1718323200,
70,Greed,1718236800,
72,Greed,1718150400,
74,Greed,1718064000,
72,Greed,1717977600,
75,Greed,1717891200,
72,Greed,1717804800,
77,Extreme Greed,1717718400,
78,Extreme Greed,1717632000,
75,Greed,1717545600,
73,Greed,1717459200,
73,Greed,1717372800,
73,Greed,1717286400,
72,Greed,1717200000,
73,Greed,1717113600,
73,Greed,1717027200,
72,Greed,1716940800,
72,Greed,1716854400,
74,Greed,1716768000,
75,Greed,1716681600,
76,Extreme Greed,1716595200,
74,Greed,1716508800,
76,Extreme Greed,1716422400,
76,Extreme Greed,1716336000,
76,Extreme Greed,1716249600,
70,Greed,1716163200,
72,Greed,1716076800,
73,Greed,1715990400,
74,Greed,1715904000,
70,Greed,1715817600,
64,Greed,1715731200,
66,Greed,1715644800,
57,Greed,1715558400,
56,Greed,1715472000,
53,Neutral,1715385600,
66,Greed,1715299200,
55,Greed,1715212800,
64,Greed,1715126400,
68,Greed,1715040000,
71,Greed,1714953600,
69,Greed,1714867200,
67,Greed,1714780800,
48,Neutral,1714694400,
43,Fear,1714608000,
54,Neutral,1714521600,
67,Greed,1714435200,
67,Greed,1714348800,
65,Greed,1714262400,
67,Greed,1714176000,
70,Greed,1714089600,
72,Greed,1714003200,
72,Greed,1713916800,
71,Greed,1713830400,
73,Greed,1713744000,
72,Greed,1713657600,
66,Greed,1713571200,
66,Greed,1713484800,
57,Greed,1713398400,
67,Greed,1713312000,
65,Greed,1713225600,
74,Greed,1713139200,
72,Greed,1713052800,
72,Greed,1712966400,
79,Extreme Greed,1712880000,
76,Extreme Greed,1712793600,
78,Extreme Greed,1712707200,
80,Extreme Greed,1712620800,
76,Extreme Greed,1712534400,
78,Extreme Greed,1712448000,
75,Greed,1712361600,
79,Extreme Greed,1712275200,
70,Greed,1712188800,
71,Greed,1712102400,
79,Extreme Greed,1712016000,
79,Extreme Greed,1711929600,
75,Greed,1711843200,
75,Greed,1711756800,
79,Extreme Greed,1711670400,
80,Extreme Greed,1711584000,
83,Extreme Greed,1711497600,
81,Extreme Greed,1711411200,
75,Greed,1711324800,
74,Greed,1711238400,
73,Greed,1711152000,
75,Greed,1711065600,
78,Extreme Greed,1710979200,
74,Greed,1710892800,
79,Extreme Greed,1710806400,
77,Extreme Greed,1710720000,
79,Extreme Greed,1710633600,
81,Extreme Greed,1710547200,
83,Extreme Greed,1710460800,
88,Extreme Greed,1710374400,
81,Extreme Greed,1710288000,
81,Extreme Greed,1710201600,
82,Extreme Greed,1710115200,
79,Extreme Greed,1710028800,
84,Extreme Greed,1709942400,
81,Extreme Greed,1709856000,
82,Extreme Greed,1709769600,
75,Greed,1709683200,
90,Extreme Greed,1709596800,
82,Extreme Greed,1709510400,
83,Extreme Greed,1709424000,
80,Extreme Greed,1709337600,
80,Extreme Greed,1709251200,
80,Extreme Greed,1709164800,
82,Extreme Greed,1709078400,
79,Extreme Greed,1708992000,
72,Greed,1708905600,
74,Greed,1708819200,
72,Greed,1708732800,
76,Extreme Greed,1708646400,
74,Greed,1708560000,
78,Extreme Greed,1708473600,
72,Greed,1708387200,
75,Greed,1708300800,
72,Greed,1708214400,
76,Extreme Greed,1708128000,
72,Greed,1708041600,
72,Greed,1707955200,
74,Greed,1707868800,
79,Extreme Greed,1707782400,
70,Greed,1707696000,
71,Greed,1707609600,
74,Greed,1707523200,
72,Greed,1707436800,
66,Greed,1707350400,
62,Greed,1707264000,
64,Greed,1707177600,
60,Greed,1707091200,
60,Greed,1707004800,
60,Greed,1706918400,
63,Greed,1706832000,
63,Greed,1706745600,
60,Greed,1706659200,
61,Greed,1706572800,
55,Greed,1706486400,
54,Neutral,1706400000,
55,Greed,1706313600,
49,Neutral,1706227200,
52,Neutral,1706140800,
48,Neutral,1706054400,
50,Neutral,1705968000,
55,Greed,1705881600,
56,Greed,1705795200,
52,Neutral,1705708800,
51,Neutral,1705622400,
63,Greed,1705536000,
60,Greed,1705449600,
64,Greed,1705363200,
52,Neutral,1705276800,
60,Greed,1705190400,
64,Greed,1705104000,
71,Greed,1705017600,
76,Extreme Greed,1704931200,
73,Greed,1704844800,
76,Extreme Greed,1704758400,
71,Greed,1704672000,
71,Greed,1704585600,
70,Greed,1704499200,
72,Greed,1704412800,
68,Greed,1704326400,
70,Greed,1704240000,
71,Greed,1704153600,
65,Greed,1704067200,
67,Greed,1703980800,
68,Greed,1703894400,
65,Greed,1703808000,
73,Greed,1703721600,
73,Greed,1703635200,
71,Greed,1703548800,
73,Greed,1703462400,
71,Greed,1703376000,
70,Greed,1703289600,
74,Greed,1703203200,
70,Greed,1703116800,
74,Greed,1703030400,
73,Greed,1702944000,
65,Greed,1702857600,
73,Greed,1702771200,
67,Greed,1702684800,
70,Greed,1702598400,
72,Greed,1702512000,
65,Greed,1702425600,
67,Greed,1702339200,
74,Greed,1702252800,
74,Greed,1702166400,
73,Greed,1702080000,
72,Greed,1701993600,
72,Greed,1701907200,
72,Greed,1701820800,
75,Greed,1701734400,
74,Greed,1701648000,
73,Greed,1701561600,
74,Greed,1701475200,
71,Greed,1701388800,
74,Greed,1701302400,
72,Greed,1701216000,
68,Greed,1701129600,
66,Greed,1701043200,
73,Greed,1700956800,
73,Greed,1700870400,
66,Greed,1700784000,
66,Greed,1700697600,
62,Greed,1700611200,
71,Greed,1700524800,
69,Greed,1700438400,
66,Greed,1700352000,
69,Greed,1700265600,
63,Greed,1700179200,
70,Greed,1700092800,
60,Greed,1700006400,
69,Greed,1699920000,
72,Greed,1699833600,
73,Greed,1699747200,
70,Greed,1699660800,
70,Greed,1699574400,
69,Greed,1699488000,
66,Greed,1699401600,
